ID,CALL,CN,TYPE
06DDE28F,PH-1372,GO6,Junior
06DDE28E,PH-1373,GO7,Junior
06DDE290,PH-790,GO4,LS4a
06485FE2,PH-1644,GO5,LS4a
06DD8223,PH-1431,GO1,DG1000s
06DD8202,PH-1432,GO2,DG1000s
064852FD,PH-1573,GO8,DG1000s
06484F66,PH-1489,GO3,Duo Discus xlt
064849B9,PH-GOZ,GOZ,Aviat Husky
06DD96E8,D-KHMI,HM,DG808
06484BA3,PH-1305,JJ,DG500
064851BB,PH-1560,JNS,Janus
06DD8E52,PH-1495,95,Ka6
06D0037A,PH-1341,41,Ventus 2cxT
06484BFE,PH-1441,GL,Libelle
06484F1E,PH-1479,4C2,Cirrus 17m
06484BC4,PH-1326,RF,DG300
06485C40,PH-1625,44,ASW24
06484808,PH-1313,AJ,Pegase
063E6ADF,D-KFRB,RB,ASH-26E
063E6FAC,D-KHMI,HM,DG808b
063E66D6,D-KEDI, RF, DG-800
064863CE,F-CEBJ, 723, Libelle Std
064858A1,PH-1603, GO9, Discus 2cT
06485E5C,PH-1633, 33, Libelle Club
06484DC8,PH-1444,DM,Phoebus A
0648649C,PH-1665,ZE,LAK-17 AT
06485E5C,PH-1633,33,Libelle Club
063EDE41,D-KZCZ,ZCZ,Discus bT
06DDBC28,D-KMKN,UF,Discus bT
063ED92B,D-KXEX,EX,Arcus T
06DD8493,D-2730,30,Mosquito
06485FAD,PH-1679,4C,DG-400
