ID,CALL,CN,TYPE
054849B7,PH-1372,GO6,Junior
054849B8,PH-1373,GO7,Junior
054849B5,PH-790,GO4,LS4a
05485FE2,PH-1644,GO5,LS4a
05484B67,PH-1431,GO1,DG1000s
05484B68,PH-1432,GO2,DG1000s
054852FD,PH-1573,GO8,DG1000s
05484F66,PH-1489,GO3,Duo Discus xlt
094849B9,PH-GOZ,GOZ,Aviat Husky
06DD96E8,D-KHMI,HM,DG808
05484BA3,PH-1305,JJ,DG500
064851BB,PH-1560,JNS,Janus
06DD8E52,PH-1495,95,Ka6
06D0037A,PH-1341,41,Ventus 2cxT
06484BFE,PH-1441,GL,Libelle
05484F1E,PH-1479,4C2,Cirrus 17m
05484BC4,PH-1326,RF,DG300
05485C40,PH-1625,44,ASW24
05484808,PH-1313,AJ,Pegase
053E6ADF,D-KFRB,RB,ASH-26E
053E6FAC,D-KHMI,HM,DG808b
053E66D6,D-KEDI, RF, DG-800
054863CE,F-CEBJ, 723, Libelle Std
054858A1,PH-1603, GO9, Discus 2cT
05485E5C,PH-1633, 33, Libelle Club
05484DC8,PH-1444,DM,Phoebus A
0648649C,PH-1665,ZE,LAK-17 AT
06485E5C,PH-1633,33,Libelle Club
053EDE41,D-KZCZ,ZCZ,Discus bT
06DDBC28,D-KMKN,UF,Discus bT
053ED92B,D-KXEX,EX,Arcus T
06DD8493,D-2730,30,Mosquito
05485FAD,PH-1679,4C,DG-400
05484D9E,PH-1347,47,Ka-6e
054849B1,PH-370,BBQ,Ka-8b
22D00A25,PH-1404,CRV,LAK-17 AT
06DF0BA7,D-KRUA,UA,ASG-29Es
